frame,id,x,y,x_offset,y_offset
1,1,1212.98,416.74,26.039999999999964,14.370000000000005
1,2,1151.14,415.0,27.579999999999927,10.339999999999975
1,3,1487.32,431.94,17.38000000000011,19.860000000000014
1,4,1080.11,337.38,18.680000000000064,6.4599999999999795
1,5,1220.9,325.3,21.279999999999973,10.539999999999964
1,6,1211.27,319.51,27.470000000000027,8.960000000000036
1,7,1069.29,499.23,20.90000000000009,10.75
1,8,1091.68,476.24,17.319999999999936,7.769999999999982
1,9,1190.41,591.3,32.6099999999999,9.32000000000005
2,1,1212.98,416.7,25.700000000000045,14.689999999999998
2,2,1150.88,414.92,27.579999999999927,10.349999999999966
2,3,1487.39,431.99,17.36999999999989,19.860000000000014
2,4,1080.11,337.29,18.680000000000064,6.509999999999991
2,5,1220.85,325.02,21.15000000000009,10.620000000000005
2,6,1211.29,319.44,27.319999999999936,9.04000000000002
2,7,1069.43,499.2,20.919999999999845,10.810000000000002
2,8,1091.36,476.28,17.50999999999999,7.760000000000048
2,9,1190.17,591.21,32.51999999999998,9.490000000000009
3,1,1212.98,416.66,25.3599999999999,15.009999999999991
3,2,1150.62,414.85,27.580000000000155,10.339999999999975
3,3,1487.47,432.04,17.3599999999999,19.859999999999957
3,4,1080.11,337.21,18.670000000000073,6.550000000000011
3,5,1220.8,324.73,21.019999999999982,10.71999999999997
3,6,1211.31,319.37,27.180000000000064,9.129999999999995
3,7,1069.56,499.17,20.940000000000055,10.859999999999957
3,8,1091.04,476.31,17.700000000000045,7.769999999999982
3,9,1189.94,591.11,32.429999999999836,9.67999999999995
4,1,1212.98,416.61,25.019999999999982,15.339999999999975
4,2,1150.36,414.77,27.580000000000155,10.340000000000032
4,3,1487.54,432.09,17.350000000000136,19.860000000000014
4,4,1080.11,337.13,18.670000000000073,6.590000000000032
4,5,1220.75,324.45,20.8900000000001,10.810000000000002
4,6,1211.33,319.3,27.029999999999973,9.21999999999997
4,7,1069.7,499.14,20.960000000000036,10.920000000000016
4,8,1090.72,476.35,17.889999999999873,7.759999999999991
4,9,1189.7,591.01,32.34999999999991,9.870000000000005
5,1,1212.98,416.57,24.680000000000064,15.660000000000025
5,2,1150.1,414.69,27.590000000000146,10.339999999999975
5,3,1487.62,432.14,17.330000000000155,19.860000000000014
5,4,1080.11,337.05,18.660000000000082,6.6299999999999955
5,5,1220.69,324.17,20.769999999999982,10.889999999999986
5,6,1211.34,319.23,26.8900000000001,9.310000000000002
5,7,1069.84,499.11,20.980000000000018,10.96999999999997
5,8,1090.39,476.38,18.079999999999927,7.769999999999982
5,9,1189.47,590.92,32.25999999999999,10.040000000000077
6,1,1212.98,416.53,24.339999999999918,15.990000000000009
6,2,1149.84,414.61,27.590000000000146,10.349999999999966
6,3,1487.69,432.19,17.319999999999936,19.860000000000014
6,4,1080.11,336.96,18.660000000000082,6.680000000000007
6,5,1220.64,323.89,20.639999999999873,10.980000000000018
6,6,1211.36,319.17,26.74000000000001,9.389999999999986
6,7,1069.98,499.08,20.99000000000001,11.020000000000039
6,8,1090.07,476.42,18.269999999999982,7.759999999999991
6,9,1189.23,590.82,32.180000000000064,10.229999999999905
7,1,1212.98,416.48,24.0,16.319999999999993
7,2,1149.59,414.54,27.580000000000155,10.339999999999975
