frame,id,x,y,x_offset,y_offset
1,1,1010.39,357.55,21.500000000000114,7.740000000000009
1,2,1151.46,337.71,20.1099999999999,17.629999999999995
1,3,1173.87,341.47,11.200000000000045,12.019999999999982
1,4,1446.3,460.6,19.110000000000127,20.899999999999977
1,5,1066.87,626.29,48.070000000000164,6.8700000000000045
1,6,1103.78,442.32,26.569999999999936,11.939999999999998
1,7,1037.84,437.98,37.15000000000009,14.240000000000009
1,8,987.86,528.38,18.49000000000001,9.029999999999973
1,9,979.2,500.22,28.069999999999936,8.95999999999998
2,1,1010.38,357.49,21.500000000000114,7.740000000000009
2,2,1151.46,337.71,20.170000000000073,17.340000000000032
2,3,1173.75,341.27,11.200000000000045,12.03000000000003
2,4,1446.41,460.7,19.1099999999999,20.900000000000034
2,5,1066.22,626.24,48.069999999999936,6.8700000000000045
2,6,1103.69,442.34,26.319999999999936,12.240000000000009
2,7,1037.62,437.88,37.15000000000009,14.25
2,8,988.06,528.35,18.49000000000001,9.029999999999973
2,9,978.94,500.22,28.069999999999936,8.95999999999998
3,1,1010.37,357.43,21.499999999999886,7.740000000000009
3,2,1151.46,337.71,20.24000000000001,17.04000000000002
3,3,1173.63,341.07,11.199999999999818,12.03000000000003
3,4,1446.51,460.8,19.1099999999999,20.899999999999977
3,5,1065.57,626.19,48.070000000000164,6.869999999999891
3,6,1103.61,442.36,26.060000000000173,12.539999999999964
3,7,1037.39,437.79,37.149999999999864,14.239999999999952
3,8,988.26,528.31,18.480000000000018,9.030000000000086
3,9,978.69,500.23,28.069999999999936,8.95999999999998
4,1,1010.37,357.37,21.489999999999895,7.740000000000009
4,2,1151.46,337.71,20.299999999999955,16.75
4,3,1173.51,340.87,11.200000000000045,12.029999999999973
4,4,1446.62,460.9,19.110000000000127,20.900000000000034
4,5,1064.92,626.14,48.069999999999936,6.8700000000000045
4,6,1103.53,442.37,25.799999999999955,12.839999999999975
4,7,1037.17,437.69,37.149999999999864,14.240000000000009
4,8,988.45,528.28,18.49000000000001,9.029999999999973
4,9,978.43,500.24,28.07000000000005,8.949999999999989
5,1,1010.36,357.31,21.499999999999886,7.740000000000009
5,2,1151.46,337.71,20.3599999999999,16.450000000000045
5,3,1173.39,340.67,11.199999999999818,12.029999999999973
5,4,1446.73,461.0,19.1099999999999,20.899999999999977
5,5,1064.27,626.1,48.069999999999936,6.860000000000014
5,6,1103.44,442.39,25.549999999999955,13.139999999999986
5,7,1036.95,437.59,37.149999999999864,14.240000000000009
5,8,988.65,528.24,18.49000000000001,9.029999999999973
5,9,978.17,500.24,28.07000000000005,8.95999999999998
6,1,1010.35,357.25,21.499999999999886,7.740000000000009
6,2,1151.46,337.71,20.420000000000073,16.160000000000025
6,3,1173.27,340.47,11.200000000000045,12.029999999999973
6,4,1446.84,461.1,19.110000000000127,20.899999999999977
6,5,1063.61,626.05,48.080000000000155,6.8700000000000045
6,6,1103.36,442.41,25.29000000000019,13.439999999999998
6,7,1036.72,437.49,37.149999999999864,14.240000000000009
6,8,988.85,528.21,18.49000000000001,9.029999999999973
6,9,977.92,500.25,28.07000000000005,8.95999999999998
7,1,1010.34,357.19,21.499999999999886,7.740000000000009
7,2,1151.46,337.71,20.49000000000001,15.870000000000005
7,3,1173.15,340.27,11.199999999999818,12.03000000000003
7,4,1446.94,461.2,19.1099999999999,20.910000000000025
7,5,1062.96,626.0,48.07999999999993,6.8700000000000045
7,6,1103.27,442.43,25.039999999999964,13.730000000000018
7,7,1036.5,437.39,37.15000000000009,14.240000000000009
7,8,989.05,528.18,18.49000000000001,9.020000000000095
7,9,977.66,500.25,28.07000000000005,8.95999999999998
8,1,1010.33,357.13,21.499999999999886,7.740000000000009
8,2,1151.46,337.71,20.549999999999955,15.569999999999993
8,3,1173.03,340.07,11.200000000000045,12.03000000000003
8,4,1447.05,461.31,19.110000000000127,20.899999999999977
8,5,1062.31,625.95,48.080000000000155,6.8700000000000045
8,6,1103.19,442.45,24.779999999999973,14.03000000000003
8,7,1036.28,437.29,37.15000000000009,14.239999999999952
8,8,989.24,528.14,18.49000000000001,9.029999999999973
8,9,977.4,500.26,28.07000000000005,8.960000000000036
9,1,1010.32,357.07,21.499999999999886,7.740000000000009
9,2,1151.46,337.71,20.6099999999999,15.28000000000003
9,3,1172.91,339.88,11.199999999999818,12.019999999999982
9,4,1447.16,461.41,19.1099999999999,20.899999999999977
9,5,1061.66,625.91,48.07999999999993,6.860000000000014
9,6,1103.11,442.46,24.52000000000021,14.340000000000032
9,7,1036.06,437.19,37.15000000000009,14.240000000000009
9,8,989.44,528.11,18.489999999999895,9.029999999999973
9,9,977.15,500.27,28.06000000000006,8.950000000000045
10,1,1010.31,357.01,21.5,7.740000000000009
10,2,1151.46,337.71,20.680000000000064,14.990000000000009
10,3,1172.79,339.68,11.200000000000045,12.019999999999982
10,4,1447.27,461.51,19.110000000000127,20.900000000000034
10,5,1061.01,625.86,48.069999999999936,6.8700000000000045
10,6,1103.02,442.48,24.269999999999982,14.629999999999995
10,7,1035.83,437.09,37.15000000000009,14.240000000000009
10,8,989.64,528.07,18.49000000000001,9.029999999999973
10,9,976.89,500.27,28.07000000000005,8.960000000000036
11,1,1010.31,356.95,21.49000000000001,7.740000000000009
11,2,1151.46,337.71,20.74000000000001,14.689999999999998
11,3,1172.67,339.48,11.199999999999818,12.019999999999982
11,4,1447.37,461.61,19.110000000000127,20.899999999999977
11,5,1060.36,625.81,48.070000000000164,6.8700000000000045
11,6,1102.94,442.5,24.0,14.930000000000007
11,7,1035.61,436.99,37.15000000000009,14.240000000000009
11,8,989.84,528.04,18.49000000000001,9.030000000000086
11,9,976.63,500.28,28.07000000000005,8.960000000000036
12,1,1010.3,356.89,21.5,7.740000000000009
12,2,1151.46,337.71,20.799999999999955,14.400000000000034
12,3,1172.55,339.28,11.200000000000045,12.03000000000003
12,4,1447.48,461.71,19.1099999999999,20.900000000000034
12,5,1059.71,625.76,48.069999999999936,6.8700000000000045
12,6,1102.86,442.52,23.74000000000001,15.230000000000018
12,7,1035.39,436.89,37.149999999999864,14.240000000000009
12,8,990.04,528.0,18.49000000000001,9.029999999999973
12,9,976.38,500.28,28.06000000000006,8.960000000000036
